p_name,p_skills,p_time,p_works
농협무인점포,"HTML, CSS, JAVASCRIPT, CORDOVA",2019.08-2019.09,30%
하나로마트로앱,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA",2019.09-2019.12,60%
하나로마트앱 백오피스,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT",2019.09-2019.12,70%
플랜비,"HTML, CSS, JAVASCRIPT",2019.08-2019.12,30%
한국전기연구원,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT",2019.11-2019.12,70%
락앤락앱,CORDOVA,2020.01-2020.01,10%
퓨처로봇,"HTML, CSS, JAVASCRIPT",2020.02-2020.04,20%
락앤락 백오피스,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT",2020.01-2021.08,60%
락앤락 diy,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT,CORDOVA",2020.01-2021.08,60%
이토픽,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA",2020.01-2020.06,70%
인티드,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA, CANVAS(Fabric.js)",2021.03 - 2021.08,70%
매니지온,"PHOTOSHOP, ILLUSTRATOR, HTML, SCSS, JQUERY, JAVASCRIPT, CORDOVA",2020.06-2020.08,60%
EV Charging,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, ANGULAR",2020.06-2020.12,50%
공원의친구들 유지보수,"HTML, CSS,JQUERY",2020.07-2020.07,10%
스마트팜,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, REACT",2020.07-2020.09,50%
거기,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA",2020.10-2021.05,50%
증빙,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, ONSEN UI, CORDOVA",2020.11-2021.08,80%
빵빵브라더스,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA",2020.12-2021.08,60%
비플스,"HTML, CSS, JQUERY, JAVASCRIPT, SVG ",2021.03 - 2021.08,60%
굴비,"ILLUSTRATOR, SKETCH, HTML, CSS, JAVASCRIPT",2021.04-2021-04,70%
옥토플렉스,"PHOTOSHOP, ILLUSTRATOR, HTML, CSS, JQUERY, JAVASCRIPT, CORDOVA",2021.04-2021.05,80%
